Entry	EntryName
Q6GZX4	001R_FRG3G
Q6GZX3	002L_FRG3G
Q197F8	002R_IIV3
Q197F7	003L_IIV3
Q6GZX2	003R_FRG3G
Q6GZX1	004R_FRG3G
Q197F5	005L_IIV3
Q6GZX0	005R_FRG3G
Q91G88	006L_IIV6
Q6GZW9	006R_FRG3G
Q6GZW8	007R_FRG3G
Q197F3	007R_IIV3
Q197F2	008L_IIV3
Q6GZW6	009L_FRG3G
Q91G85	009R_IIV6
Q6GZW5	010R_FRG3G
Q197E9	011L_IIV3
Q6GZW4	011R_FRG3G
Q6GZW3	012L_FRG3G
Q197E7	013L_IIV3
Q6GZW2	013R_FRG3G
Q6GZW1	014R_FRG3G
Q6GZW0	015R_FRG3G
Q6GZV8	017L_FRG3G
Q6GZV7	018L_FRG3G
Q6GZV6	019R_FRG3G
Q6GZV5	020R_FRG3G
Q6GZV4	021L_FRG3G
Q197D8	022L_IIV3
Q6GZV2	023R_FRG3G
Q197D7	023R_IIV3
Q6GZV1	024R_FRG3G
Q197D5	025R_IIV3
Q91G70	026R_IIV6
Q6GZU9	027R_FRG3G
Q6GZU8	028R_FRG3G
Q197D2	028R_IIV3
Q6GZU7	029L_FRG3G
Q91G67	029R_IIV6
Q197D0	030L_IIV3
Q6GZU6	030R_FRG3G
Q6GZU5	031R_FRG3G
Q6GZU4	032R_FRG3G
Q197C8	032R_IIV3
Q91G65	032R_IIV6
Q6GZU3	033R_FRG3G
Q6GZU2	034R_FRG3G
Q91G63	034R_IIV6
Q6GZU1	035L_FRG3G
Q6GZU0	036L_FRG3G
Q197C3	037L_IIV3
Q6GZT9	037R_FRG3G
Q6GZT7	039R_FRG3G
Q6GZT6	040R_FRG3G
Q197C0	040R_IIV3
Q91G57	041L_IIV6
Q6GZT5	041R_FRG3G
Q6GZT4	042L_FRG3G
Q91G56	042R_IIV6
Q91G55	043L_IIV6
Q6GZT3	043R_FRG3G
Q197B6	044L_IIV3
Q6GZN9	044R_FRG3G
Q91G54	044R_IIV6
Q6GZT1	045L_FRG3G
Q197B5	045R_IIV3
Q6GZT0	046L_FRG3G
Q6GZS9	047L_FRG3G
Q6GZS8	048L_FRG3G
Q6GZS7	049L_FRG3G
Q91G50	049L_IIV6
Q197B1	049R_IIV3
Q6GZS6	050L_FRG3G
Q6GZS5	051R_FRG3G
Q6GZS4	052L_FRG3G
Q197A7	053L_IIV3
Q6GZS3	053R_FRG3G
Q6GZS2	054L_FRG3G
Q197A6	054L_IIV3
Q6GZS1	055L_FRG3G
Q67475	055R_FRG3G
Q6GZR9	056R_FRG3G
O55703	056R_IIV6
Q197A3	057L_IIV3
Q6GZR8	057R_FRG3G
Q6GZR7	058R_FRG3G
Q6GZR6	059L_FRG3G
O55704	060L_IIV6
Q6GZR4	061L_FRG3G
O55705	061R_IIV6
Q196Z8	062L_IIV3
O55706	062L_IIV6
Q196Z6	064L_IIV3
Q6GZR1	064R_FRG3G
Q6GZR0	065L_FRG3G
Q91G40	065R_IIV6
Q6GZQ9	066L_FRG3G
Q6GZQ7	068R_FRG3G
O55709	069L_IIV6
Q6GZQ6	069R_FRG3G
Q6GZQ5	070R_FRG3G
O55710	071L_IIV6
Q6GZQ4	071R_FRG3G
Q6GZQ3	072L_FRG3G
Q196Y8	072L_IIV3
Q6GZQ2	073L_FRG3G
Q196Y7	073R_IIV3
Q6GZQ1	074L_FRG3G
Q6GZQ0	075L_FRG3G
Q196Y5	075R_IIV3
Q6GZP9	076R_FRG3G
Q6GZP8	077L_FRG3G
Q196Y3	077R_IIV3
Q6GZP7	078L_FRG3G
Q6GZP6	079R_FRG3G
Q196Y0	080R_IIV3
Q196X9	081L_IIV3
Q6GZP4	081R_FRG3G
Q196X8	082L_IIV3
O55713	082L_IIV6
O55714	083L_IIV6
O55715	084L_IIV6
Q6GZP1	084R_FRG3G
Q6GZT2	086L_FRG3G
Q6GZN8	087L_FRG3G
Q6GZN7	088R_FRG3G
Q196X1	089L_IIV3
Q6GZN6	089R_FRG3G
Q6GZN3	092R_FRG3G
Q196W8	092R_IIV3
Q6GZN2	093L_FRG3G
Q6GZN1	094L_FRG3G
O55717	094L_IIV6
Q196W5	095L_IIV3
O55718	095L_IIV6
Q6GZN0	095R_FRG3G
O55719	096L_IIV6
Q6GZM9	096R_FRG3G
Q6GZM8	097R_FRG3G
Q6GZM7	098R_FRG3G
P0C9F0	1001R_ASFK5
P0C9F1	1001R_ASFM2
P0C9F2	1001R_ASFP4
P0C9E9	1001R_ASFWA
Q65209	1002L_ASFB7
P0C9F4	1002L_ASFK5
P0C9F5	1002L_ASFM2
P0C9F6	1002L_ASFP4
P0C9F3	1002L_ASFWA
Q65210	1003L_ASFB7
P0C9F8	1003L_ASFK5
P0C9F9	1003L_ASFM2
P0C9G0	1003L_ASFP4
P0C9F7	1003L_ASFWA
O55722	101L_IIV6
Q196V8	102R_IIV3
Q196V7	103L_IIV3
Q4U9M9	104K_THEAN
P15711	104K_THEPA
O55723	104L_IIV6
A9CBA2	105R_ADES1
O55724	106L_IIV6
O55725	107L_IIV6
Q196V2	108L_IIV3
Q43495	108_SOLLC
Q60888	10D1B_MOUSE
Q8VBW9	10H28_MOUSE
Q6V4H0	10HGO_CATRO
P0DO85	10H_STRNX
Q60885	10P22_MOUSE
P0C9J4	11011_ASFK5
P26704	11011_ASFL5
P0C9J5	11011_ASFM2
P0C9J6	11011_ASFP4
P0C9J2	11011_ASFWA
P0C9J8	11012_ASFK5
P0C9J9	11012_ASFM2
P26702	11013_ASFL5
P0C9K1	11013_ASFM2
P0C9K0	11013_ASFWA
P0C9K2	11014_ASFK5
P26706	11014_ASFL5
P0C9K3	11014_ASFM2
P26703	1101B_ASFL5
P0C9J7	1101B_ASFP4
P0C9J3	1101B_ASFWA
P18560	1101L_ASFB7
P0C9G2	1101L_ASFK5
P0C9G3	1101L_ASFM2
P0C9G4	1101L_ASFP4
A9JLI2	1101L_ASFPP
P0C9G1	1101L_ASFWA
P18559	1102L_ASFB7
P0C9G6	1102L_ASFK5
P0C9G7	1102L_ASFM2
P0C9G8	1102L_ASFP4
A9JLI3	1102L_ASFPP
P0C9G5	1102L_ASFWA
P0C9G9	1103L_ASFK5
P26708	1104B_ASFL5
P18558	1104L_ASFB7
P0C9H1	1104L_ASFK5
P26707	1104L_ASFL5
P0C9H2	1104L_ASFM2
P0C9H3	1104L_ASFP4
A9JLI5	1104L_ASFPP
P0C9H0	1104L_ASFWA
P18557	1105L_ASFB7
P26705	1105L_ASFL5
P0C9H5	1105L_ASFM2
P0C9H6	1105L_ASFP4
A9JLI7	1105L_ASFPP
P0C9H4	1105L_ASFWA
P68744	1106L_ASFB7
P0C9H8	1106L_ASFK5
P68745	1106L_ASFL5
P0C9H9	1106L_ASFM2
P0C9I0	1106L_ASFP4
P0C9H7	1106L_ASFWA
P0C9I2	1107L_ASFK5
P26709	1107L_ASFL5
P0C9I3	1107L_ASFM2
P0C9I4	1107L_ASFP4
P0C9I1	1107L_ASFWA
P0C9I6	1108L_ASFK5
P0C9I7	1108L_ASFM2
P0C9I8	1108L_ASFP4
P0C9I5	1108L_ASFWA
P0C9J0	1109L_ASFK5
P26710	1109L_ASFL5
P0C9J1	1109L_ASFP4
P0C9I9	1109L_ASFWA
P13813	110KD_PLAKN
Q196V0	110R_IIV3
O55726	110R_IIV6
O55727	111R_IIV6
O55728	113L_IIV6
Q196U6	114L_IIV3
O55731	116L_IIV6
Q196U4	116R_IIV3
Q196U3	117L_IIV3
Q196U2	118R_IIV3
Q196U1	119R_IIV3
P0DO87	11H_STRNX
P0DJZ0	11K_PAVHV
B5KVH4	11S1_CARIL
C0HLM8	11S1_ELAGV
C0HLR7	11S1_MACIN
C0HLM9	11S2_ELAGV
Q9XHP0	11S2_SESIN
P19084	11S3_HELAN
P13744	11SB_CUCMA
O55734	120L_IIV6
O55735	121R_IIV6
Q196T8	122R_IIV3
O55736	122R_IIV6
Q196T7	123L_IIV3
O55737	123R_IIV6
Q196T6	124R_IIV3
Q196T5	125R_IIV3
Q196T4	126R_IIV3
O55738	126R_IIV6
O55739	127L_IIV6
P32234	128UP_DROME
P21215	12AH_CLOS4
Q05349	12KD_FRAAN
P80438	12KD_MYCSM
Q92AT0	12OLP_LISIN
Q8GBW6	12S_PROFR
O55740	130R_IIV6
O55741	132L_IIV6
Q91G04	135R_IIV6
O55743	137R_IIV6
O55744	138R_IIV6
O55745	139L_IIV6
P83011	13KDA_SCYCA
P83010	13KDA_TRISC
O23878	13S1_FAGES
O23880	13S2_FAGES
Q9XFM4	13S3_FAGES
P83004	13SB_FAGES
A9NJG2	13S_FAGTA
O55746	140L_IIV6
O55747	141R_IIV6
P48347	14310_ARATH
P93207	14310_SOLLC
Q9S9Z8	14311_ARATH
Q9C5W6	14312_ARATH
P42643	14331_ARATH
P41932	14331_CAEEL
Q9U408	14331_ECHGR
Q24902	14331_ECHMU
P42648	14331_ENTH1
P49106	14331_MAIZE
Q84J55	14331_ORYSJ
