Entry	Entry Name
A0A024QYR6	A0A024QYR6_HUMAN
A0A024QYR9	A0A024QYR9_MOUSE
A0A024R1X5	A0A024R1X5_HUMAN
A0A024R274	A0A024R274_HUMAN
A0A024R324	A0A024R324_HUMAN
A0A024R5Z7	A0A024R5Z7_HUMAN
A0A024R6A3	A0A024R6A3_HUMAN
A0A024R7I7	A0A024R7I7_HUMAN
A0A024RA31	A0A024RA31_HUMAN
A0A024RBI1	A0A024RBI1_HUMAN
A0A024RCN9	A0A024RCN9_HUMAN
A0A068EW80	A0A068EW80_MOUSE
A0A068F579	A0A068F579_HUMAN
A0A068F658	A0A068F658_HUMAN
A0A068F753	A0A068F753_HUMAN
A0A068FB60	A0A068FB60_HUMAN
A0A075F891	A0A075F891_MOUSE
A0A087WPF7	AUTS2_MOUSE
A0A087WPT2	A0A087WPT2_MOUSE
A0A087WRK1	A0A087WRK1_MOUSE
A0A087WRM3	A0A087WRM3_MOUSE
A0A087WRT4	A0A087WRT4_MOUSE
A0A087WVL8	A0A087WVL8_HUMAN
A0A087WXI3	A0A087WXI3_HUMAN
A0A087WY29	A0A087WY29_HUMAN
A0A087WYG2	A0A087WYG2_HUMAN
A0A087WZT3	A0A087WZT3_HUMAN
A0A087X033	A0A087X033_HUMAN
A0A087X1C5	CP2D7_HUMAN
A0A087X296	A0A087X296_HUMAN
A0A088MLT8	IQIP1_MOUSE
A0A090N7W4	A0A090N7W4_HUMAN
A0A090N8E9	A0A090N8E9_HUMAN
A0A096MJN4	SEPT4_RAT
A0A096MJY4	MEF2C_RAT
A0A096MK47	MLIP_RAT
A0A0A0MQV1	A0A0A0MQV1_HUMAN
A0A0A0MR05	A0A0A0MR05_HUMAN
A0A0A0MRF5	A0A0A0MRF5_HUMAN
A0A0A0MRG2	A0A0A0MRG2_HUMAN
A0A0A0MS99	A0A0A0MS99_HUMAN
A0A0A0MSA1	A0A0A0MSA1_HUMAN
A0A0A0MSN4	A0A0A0MSN4_HUMAN
A0A0A6YXR0	A0A0A6YXR0_MOUSE
A0A0B4J1F4	ARRD4_MOUSE
A0A0B4J1G0	FCG3A_MOUSE
A0A0B4J1N3	GP15L_MOUSE
A0A0B4J1S7	A0A0B4J1S7_HUMAN
A0A0B4J250	A0A0B4J250_HUMAN
A0A0B4J2F0	PIOS1_HUMAN
A0A0C3SFZ9	A0A0C3SFZ9_HUMAN
A0A0C4DFN3	A0A0C4DFN3_HUMAN
A0A0C4DG85	A0A0C4DG85_HUMAN
A0A0C4DGF1	A0A0C4DGF1_HUMAN
A0A0C5B5G6	MOTSC_HUMAN
A0A0G2JDK2	A0A0G2JDK2_MOUSE
A0A0G2JDV3	GBP6_MOUSE
A0A0G2JGI9	A0A0G2JGI9_MOUSE
A0A0G2JGS4	A0A0G2JGS4_MOUSE
A0A0G2JIW1	A0A0G2JIW1_HUMAN
A0A0G2JL65	A0A0G2JL65_HUMAN
A0A0G2JLB3	A0A0G2JLB3_HUMAN
A0A0G2JNZ0	A0A0G2JNZ0_HUMAN
A0A0G2JNZ5	A0A0G2JNZ5_HUMAN
A0A0G2JQ62	A0A0G2JQ62_HUMAN
A0A0G2JRI7	A0A0G2JRI7_HUMAN
A0A0G2JTR4	ABR_RAT
A0A0G2JTY4	NFAC3_RAT
A0A0G2JTZ2	SOX6_RAT
A0A0G2JUG7	IQEC1_RAT
A0A0G2JV04	GGA3_RAT
A0A0G2JXN2	TRI46_RAT
A0A0G2JXT6	MTMR6_RAT
A0A0G2JZ79	SIR1_RAT
A0A0G2K047	ACSS3_RAT
A0A0G2K1Q8	ABCA3_RAT
A0A0G2K2P5	ZO1_RAT
A0A0G2K309	ORNT1_RAT
A0A0G2K344	PK3CA_RAT
A0A0G2QC33	ATG4B_RAT
A0A0K0K1J8	A0A0K0K1J8_HUMAN
A0A0K0K1K3	A0A0K0K1K3_HUMAN
A0A0K0L4Y0	A0A0K0L4Y0_HUMAN
A0A0K0L4Y8	A0A0K0L4Y8_HUMAN
A0A0K2S4Q6	CD3CH_HUMAN
A0A0R4IZW4	A0A0R4IZW4_MOUSE
A0A0R4IZW5	A0A0R4IZW5_MOUSE
A0A0R4IZY3	A0A0R4IZY3_MOUSE
A0A0R4J008	A0A0R4J008_MOUSE
A0A0R4J083	A0A0R4J083_MOUSE
A0A0R4J093	A0A0R4J093_MOUSE
A0A0R4J097	A0A0R4J097_MOUSE
A0A0R4J0A4	A0A0R4J0A4_MOUSE
A0A0R4J0A9	A0A0R4J0A9_MOUSE
A0A0R4J0B3	A0A0R4J0B3_MOUSE
A0A0R4J0B6	A0A0R4J0B6_MOUSE
A0A0R4J0I9	A0A0R4J0I9_MOUSE
A0A0R4J0N8	A0A0R4J0N8_MOUSE
A0A0R4J104	A0A0R4J104_MOUSE
A0A0R4J115	A0A0R4J115_MOUSE
A0A0R4J136	A0A0R4J136_MOUSE
A0A0R4J170	A0A0R4J170_MOUSE
A0A0R4J187	A0A0R4J187_MOUSE
A0A0R4J1M7	A0A0R4J1M7_MOUSE
A0A0R4J1Q7	A0A0R4J1Q7_MOUSE
A0A0R4J210	A0A0R4J210_MOUSE
A0A0S2Z310	A0A0S2Z310_HUMAN
A0A0S2Z366	A0A0S2Z366_HUMAN
A0A0S2Z381	A0A0S2Z381_HUMAN
A0A0S2Z383	A0A0S2Z383_HUMAN
A0A0S2Z391	A0A0S2Z391_HUMAN
A0A0S2Z3A9	A0A0S2Z3A9_HUMAN
A0A0S2Z3C5	A0A0S2Z3C5_HUMAN
A0A0S2Z3C7	A0A0S2Z3C7_HUMAN
A0A0S2Z3D5	A0A0S2Z3D5_HUMAN
A0A0S2Z3L2	A0A0S2Z3L2_HUMAN
A0A0S2Z3Q4	A0A0S2Z3Q4_HUMAN
A0A0S2Z3S6	A0A0S2Z3S6_HUMAN
A0A0S2Z3W3	A0A0S2Z3W3_HUMAN
A0A0S2Z3W6	A0A0S2Z3W6_HUMAN
A0A0S2Z410	A0A0S2Z410_HUMAN
A0A0S2Z478	A0A0S2Z478_HUMAN
A0A0S2Z491	A0A0S2Z491_HUMAN
A0A0S2Z4C5	A0A0S2Z4C5_HUMAN
A0A0S2Z4C6	A0A0S2Z4C6_HUMAN
A0A0S2Z4D1	A0A0S2Z4D1_HUMAN
A0A0S2Z4D2	A0A0S2Z4D2_HUMAN
A0A0S2Z4G9	A0A0S2Z4G9_HUMAN
A0A0S2Z4J1	A0A0S2Z4J1_HUMAN
A0A0S2Z4M1	A0A0S2Z4M1_HUMAN
A0A0S2Z4N5	A0A0S2Z4N5_HUMAN
A0A0S2Z4Q4	A0A0S2Z4Q4_HUMAN
A0A0S2Z4R0	A0A0S2Z4R0_HUMAN
A0A0S2Z4U3	A0A0S2Z4U3_HUMAN
A0A0S2Z4Z8	A0A0S2Z4Z8_HUMAN
A0A0S2Z5D6	A0A0S2Z5D6_HUMAN
A0A0S2Z5G4	A0A0S2Z5G4_HUMAN
A0A0S2Z5J4	A0A0S2Z5J4_HUMAN
A0A0S2Z5U8	A0A0S2Z5U8_HUMAN
A0A0S2Z5X4	A0A0S2Z5X4_HUMAN
A0A0U1RNJ1	A0A0U1RNJ1_MOUSE
A0A0U1RNR0	A0A0U1RNR0_MOUSE
A0A0U1RPR8	GUC2D_MOUSE
A0A0U1RPX4	A0A0U1RPX4_MOUSE
A0A0U1RQC9	A0A0U1RQC9_HUMAN
A0A0U1RQF0	A0A0U1RQF0_HUMAN
A0A0U1RQI6	A0A0U1RQI6_HUMAN
A0A0U1RQV4	A0A0U1RQV4_HUMAN
A0A0U1RRE5	NBDY_HUMAN
A0A0U1WL47	A0A0U1WL47_HUMAN
A0A0U5J4W4	A0A0U5J4W4_MOUSE
A0A140LHL5	A0A140LHL5_MOUSE
A0A140LI88	ANR31_MOUSE
